ERA40,1960s,1980s,2000s,2010s,C20156,C20167,C20178,C201920
3073.6,3171.7,3070,2733.7,2501,2516.9,1851.9,2292.4,
3102.5,3201.6,3099.1,2759.3,2524.9,2541.1,1875.6,2312.5,
3131.5,3231.6,3128.6,2783.7,2548.3,2561.8,1900,2334.9,
3160.7,3261.6,3158.2,2808.2,2571.6,2580.4,1924.1,2359.6,
3189.6,3292.2,3187.6,2833.4,2595.6,2597.2,1947.4,2385.1,
3218.7,3323.6,3216.7,2859,2620.2,2615.1,1970.9,2411,
3248.1,3355.9,3246,2884.8,2645.4,2633.7,1993.7,2437.2,
3278.1,3388.7,3275.5,2911.4,2671.2,2653.2,2016.9,2463.2,
3308.3,3420.9,3303.9,2938.6,2697.3,2674.6,2038.9,2488.1,
3338.2,3452.5,3332.2,2966.1,2722.9,2697.3,2061.2,2511.4,
3368,3483.9,3360.3,2994.1,2747.5,2720.9,2083.3,2533.3,
3397.9,3514.2,3388.9,3022.4,2771.2,2745,2105.1,2548.1,
3428.1,3545.3,3417.2,3050.9,2795.8,2769.3,2127.5,2565.4,
3458.7,3576.8,3445.6,3079.4,2820.4,2793.9,2149.6,2586.4,
3489.3,3608.5,3474.3,3107.8,2844.5,2818.8,2172.3,2608.5,
3519.9,3640.4,3502.3,3136,2867.9,2844.2,2195.6,2630.9,
3550.2,3672.8,3529.6,3163.8,2890.5,2869.6,2219.7,2650.7,
3580.4,3705.6,3557.8,3191.6,2912.5,2894.5,2238.3,2669.5,
3610.8,3738.5,3586.3,3219.7,2934.1,2919.1,2255.7,2687.3,
3641,3770.4,3614.3,3247.9,2956.2,2942.3,2270.7,2705.2,
3670.9,3801.1,3642.7,3276,2978.9,2965.1,2289.5,2724.3,
3700.6,3831.2,3671.4,3303.6,3002.3,2989.9,2310.6,2744.4,
3730.2,3861.2,3700.2,3331.3,3025.5,3015,2333.2,2764.7,
3759.8,3891.4,3728.8,3358.7,3048.5,3039.1,2356.8,2783.8,
3789.4,3921.7,3757.9,3385,3071.5,3060.4,2381.2,2802.5,
3818.9,3952.1,3787.3,3411.1,3095,3081.3,2406.3,2822.1,
3848.4,3982.6,3817.3,3438.5,3119.2,3101.9,2432.1,2840.2,
3878,4013.1,3847.3,3466.3,3143.8,3119.8,2459.9,2855,
3907.7,4043.6,3877.3,3494.4,3168.6,3136,2488.7,2868.4,
3937.8,4074.6,3907.9,3522.1,3192.8,3152.8,2517.8,2878.9,
3968.3,4106.3,3937.7,3549.8,3217,3169.2,2547.1,2890.4,
3998.8,4138.6,3968.4,3577.2,3240.3,3185.7,2575.3,2899.7,
4029.7,4170.7,3999.9,3604.7,3263.7,3203.5,2603,2912.8,
4060.5,4202.5,4031,3632.8,3288.2,3220.8,2630,2932.5,
4090.9,4233.7,4061.6,3661.6,3313.1,3238.5,2655.8,2954.5,
4121.3,4265,4092.8,3690.9,3338.6,3258.7,2681.1,2976.9,
4151.3,4296.4,4123.9,3720.6,3364.6,3279.8,2705,2999.5,
4181.4,4327.8,4154.6,3750.3,3390.2,3301.7,2728.5,3022.6,
4211.3,4358.6,4185.3,3780.3,3415.6,3324.3,2751.1,3046.3,
4241,4388.3,4215.5,3810.1,3439.9,3347.2,2776.2,3070.8,
4270.3,4418.7,4245.8,3840.5,3464.3,3370.2,2800.9,3095.5,
4299.4,4449.3,4275.5,3871.5,3488.5,3393,2824.2,3120.8,
4328.7,4479.9,4304.9,3901.8,3513,3416.9,2850.1,3146.8,
4358.2,4510.9,4334.9,3931.7,3537.3,3440.8,2876.4,3173.5,
